city,total_listings,entire_homes,active_entire_homes
paris,77679,69265,37404
new-zealand,50932,41757,34736
london,92799,61377,33455
sao-paulo,42378,36396,30168
rio-de-janeiro,48729,39471,28193
sicily,56877,45363,24786
tokyo,34419,28837,24187
hawaii,38231,33950,22317
rome,37228,27797,22158
buenos-aires,29685,26790,20895
puglia,48685,39509,20105
south-aegean,36680,31118,19987
los-angeles,43932,32454,19036
ireland,32456,22332,16868
crete,27333,24815,16600
milan,25790,22820,16538
cape-town,27381,23136,16317
mexico-city,31430,21000,16188
lisbon,24912,18444,14708
copenhagen,23146,21368,13387
girona,21263,20086,12838
melbourne,25728,18829,12780
bangkok,31069,20800,12148
madrid,22835,15899,12027
sydney,20573,16192,11927
santiago,18534,15004,11804
broward-county,17713,14771,10772
porto,15294,12800,10360
athens,14342,13304,10217
bogota,19187,13865,9943
mallorca,14901,14053,9512
western-australia,11724,9897,9067
budapest,11459,10438,9030
istanbul,26631,17939,9006
florence,13508,11229,8979
clark-county-nv,20296,14096,8731
toronto,22226,15224,8667
san-diego,13273,11075,8458
prague,11619,9671,8045
barcelona,15406,10844,7773
vienna,13306,11079,7578
nashville,10255,9266,7563
malta,13155,9952,7509
pays-basque,12096,10732,7441
austin,11320,9354,7294
oslo,13391,11929,7271
malaga,9573,8481,6780
montreal,10677,8728,5960
sevilla,8246,7111,5920
new-york-city,30555,16808,5763
nairobi,22008,18691,5749
venice,8793,6785,5743
trentino,10090,8736,5740
bordeaux,12244,9522,5683
valencia,7865,6138,5124
sunshine-coast,7297,6800,5048
tasmania,6618,5842,5035
amsterdam,10465,8489,5006
berlin,12855,8846,4979
chicago,8704,6663,4903
seattle,7814,6438,4834
naples,11580,6908,4793
barwon-south-west-vic,7095,6499,4737
dallas,6574,5646,4192
northern-rivers,6367,5780,4155
lyon,9355,7476,4100
brisbane,6347,4826,4028
euskadi,6251,4555,3890
washington-dc,6996,5224,3783
new-orleans,7254,5730,3768
mid-north-coast,5328,4997,3759
edinburgh,6258,4445,3747
vancouver,6525,5322,3734
thessaloniki,4965,4814,3689
rhode-island,6040,4859,3642
greater-manchester,6947,4732,3620
taipei,6419,4558,3508
twin-cities-msa,5353,4135,3470
mornington-peninsula,4458,4350,3123
new-brunswick,4620,3930,3122
denver,4949,4233,3118
bologna,4954,3901,3102
brussels,5111,3688,2940
san-francisco,7422,4477,2843
dublin,6981,4019,2835
menorca,3620,3486,2669
portland,4210,3537,2629
bergamo,4242,3504,2544
santa-clara-county,6895,3889,2529
riga,3471,3193,2520
munich,6890,4586,2508
stockholm,4806,3981,2308
victoria,3531,3046,2217
vaud,5301,3851,2111
asheville,2868,2599,2087
columbus,2959,2438,2000
boston,4414,3003,1943
belize,3608,2581,1708
bristol,3023,2156,1596
san-mateo-county,3354,2322,1583
antwerp,2536,2103,1577
quebec-city,2211,1877,1500
zurich,3308,2556,1483
fort-worth,2419,1827,1376
hong-kong,6757,2578,1297
santa-cruz-county,1804,1500,1212
oakland,2154,1661,1166
ottawa,2727,1664,1139
winnipeg,1790,1340,1088
jersey-city,2320,1589,1078
geneva,2604,1827,985
ghent,1386,982,824
the-hague,1497,1246,821
newark,2019,1059,788
rotterdam,1377,1000,691
rochester,1055,731,552
cambridge,1457,775,463
bozeman,591,527,414
singapore,3247,1226,328
albany,490,345,288
barossa-valley,360,316,263
salem-or,349,251,193
pacific-grove,270,224,149
